timestamp,tof0,tof1
1734907677.362579,255.0,255.0
1734907677.3638313,255.0,255.0
1734907677.3638878,255.0,255.0
1734907677.3652844,255.0,255.0
1734907677.3653371,255.0,255.0
1734907677.3665254,255.0,255.0
1734907677.366719,255.0,255.0
1734907677.3681061,255.0,255.0
1734907677.3681371,255.0,255.0
1734907677.369571,255.0,255.0
1734907677.3696072,255.0,255.0
1734907677.371043,255.0,255.0
1734907677.3712022,255.0,255.0
1734907677.3722923,255.0,255.0
1734907677.3725996,255.0,255.0
1734907677.3735332,255.0,255.0
1734907677.3736951,255.0,255.0
1734907677.3749802,255.0,255.0
1734907677.375004,255.0,255.0
1734907677.3762887,255.0,255.0
1734907677.376417,255.0,255.0
1734907677.377717,255.0,255.0
1734907677.3778164,255.0,255.0
1734907677.3796518,255.0,255.0
1734907677.3798022,255.0,255.0
1734907677.3810003,255.0,255.0
1734907677.3810616,255.0,255.0
1734907677.382304,255.0,255.0
1734907677.382604,255.0,255.0
1734907677.3838744,255.0,255.0
1734907677.3839653,255.0,255.0
1734907677.3853643,255.0,255.0
1734907677.38568,255.0,255.0
1734907677.3868122,255.0,255.0
1734907677.3868814,255.0,255.0
1734907677.3878644,255.0,255.0
1734907677.3880343,255.0,255.0
1734907677.3893456,255.0,255.0
1734907677.3906226,255.0,255.0
1734907677.3909779,255.0,255.0
1734907677.3915565,255.0,255.0
1734907677.3927672,255.0,255.0
1734907677.3927844,255.0,255.0
1734907677.3939807,255.0,255.0
1734907677.3940794,255.0,255.0
1734907677.3958712,255.0,255.0
1734907677.3959248,255.0,255.0
1734907677.3970296,255.0,255.0
1734907677.3970804,255.0,255.0
1734907677.3982654,255.0,255.0
1734907677.3984966,255.0,255.0
1734907677.399924,255.0,255.0
1734907677.3999598,255.0,255.0
1734907677.4012086,255.0,255.0
1734907677.4014668,255.0,255.0
1734907677.4027474,255.0,255.0
1734907677.4030085,255.0,255.0
1734907677.4044302,255.0,255.0
1734907677.404674,255.0,255.0
1734907677.405864,255.0,255.0
1734907677.405993,255.0,255.0
1734907677.4072568,255.0,255.0
1734907677.407498,255.0,255.0
1734907677.4095368,255.0,255.0
1734907677.4098258,255.0,255.0
1734907677.4107518,255.0,255.0
1734907677.4108982,255.0,255.0
1734907677.4122813,255.0,255.0
1734907677.4124055,255.0,255.0
1734907677.4139626,255.0,255.0
1734907677.4141784,255.0,255.0
1734907677.4155536,255.0,255.0
1734907677.4155734,255.0,255.0
1734907677.4170246,255.0,255.0
1734907677.4170594,255.0,255.0
1734907677.41835,255.0,255.0
1734907677.4185486,255.0,255.0
1734907677.4201117,255.0,255.0
1734907677.420143,255.0,255.0
1734907677.4212267,255.0,255.0
1734907677.4215875,255.0,255.0
1734907677.4224095,255.0,255.0
1734907677.4226182,255.0,255.0
1734907677.4239457,255.0,255.0
1734907677.4247468,255.0,255.0
1734907677.4253001,255.0,255.0
1734907677.425968,255.0,255.0
1734907677.4271228,255.0,255.0
1734907677.4271622,255.0,255.0
1734907677.4285884,255.0,255.0
1734907677.4286273,255.0,255.0
1734907677.4310296,255.0,255.0
1734907677.4310684,255.0,255.0
1734907677.4324262,255.0,255.0
1734907677.4325333,255.0,255.0
1734907677.433682,255.0,255.0
1734907677.4340386,255.0,255.0
1734907677.4352195,255.0,255.0
1734907677.4353058,255.0,255.0
1734907677.4367843,255.0,255.0
1734907677.436939,255.0,255.0
1734907677.4380076,255.0,255.0
1734907677.4380465,255.0,255.0
1734907677.439327,255.0,255.0
1734907677.439348,255.0,255.0
1734907677.4405522,255.0,255.0
1734907677.4406936,255.0,255.0
1734907677.442133,255.0,255.0
1734907677.4422224,255.0,255.0
1734907677.4433568,255.0,255.0
1734907677.4438417,255.0,255.0
1734907677.4447505,255.0,255.0
1734907677.4450684,255.0,255.0
1734907677.446163,255.0,255.0
1734907677.4465349,255.0,255.0
1734907677.4480019,255.0,255.0
1734907677.4481702,255.0,255.0
1734907677.449391,255.0,255.0
1734907677.4494374,255.0,255.0
1734907677.4506407,255.0,255.0
1734907677.450868,255.0,255.0
1734907677.4521751,255.0,255.0
1734907677.4523635,255.0,255.0
1734907677.4539044,255.0,255.0
1734907677.4540591,255.0,255.0
1734907677.4552171,255.0,255.0
1734907677.4552355,255.0,255.0
1734907677.4565246,255.0,255.0
1734907677.456733,255.0,255.0
1734907677.4579566,255.0,255.0
1734907677.4580271,255.0,255.0
1734907677.4594722,255.0,255.0
1734907677.4596083,255.0,255.0
1734907677.4615037,255.0,255.0
1734907677.461767,255.0,255.0
1734907677.4630601,255.0,255.0
1734907677.463131,255.0,255.0
1734907677.464235,255.0,255.0
1734907677.465417,255.0,255.0
1734907677.4658642,255.0,255.0
1734907677.466517,255.0,255.0
1734907677.4673383,255.0,255.0
1734907677.468191,255.0,255.0
1734907677.4687357,255.0,255.0
1734907677.469434,255.0,255.0
1734907677.4699626,255.0,255.0
1734907677.4707448,255.0,255.0
1734907677.4715648,255.0,255.0
1734907677.4716716,255.0,255.0
1734907677.4726272,255.0,255.0
1734907677.4726508,255.0,255.0
1734907677.4741042,255.0,255.0
1734907677.474414,255.0,255.0
1734907677.4755116,255.0,255.0
1734907677.4759753,255.0,255.0
1734907677.4769483,255.0,255.0
1734907677.4771805,255.0,255.0
1734907677.4783132,255.0,255.0
1734907677.4784698,255.0,255.0
1734907677.4796622,255.0,255.0
1734907677.479997,255.0,255.0
1734907677.4812236,255.0,255.0
1734907677.4813645,255.0,255.0
1734907677.4828618,255.0,255.0
1734907677.483394,255.0,255.0
1734907677.484756,255.0,255.0
1734907677.4861093,255.0,255.0
1734907677.4861662,255.0,255.0
1734907677.4874609,255.0,255.0
1734907677.4874914,255.0,255.0
1734907677.4885235,255.0,255.0
1734907677.4886413,255.0,255.0
1734907677.4900248,255.0,255.0
1734907677.4900646,255.0,255.0
1734907677.4916363,255.0,255.0
1734907677.4918022,255.0,255.0
1734907677.4929435,255.0,255.0
1734907677.4932008,255.0,255.0
1734907677.494742,255.0,255.0
1734907677.4948277,255.0,255.0
1734907677.4959528,255.0,255.0
1734907677.4963367,255.0,255.0
1734907677.4975653,255.0,255.0
